#NAME,geographic_location,Organism
P1a,Blantyre,pond metagenome
P1b,Blantyre,pond metagenome
P1c,Blantyre,pond metagenome
P1d,Blantyre,pond metagenome
P1e,Blantyre,pond metagenome
P2a,Blantyre,pond metagenome
P2b,Blantyre,pond metagenome
P2c,Blantyre,pond metagenome
P2d,Blantyre,pond metagenome
P2e,Blantyre,pond metagenome
P3a,Blantyre,pond metagenome
P3b,Blantyre,pond metagenome
P3c,Blantyre,pond metagenome
P3d,Blantyre,pond metagenome
P3e,Blantyre,pond metagenome
P4a,Blantyre,pond metagenome
P4b,Blantyre,pond metagenome
P4c,Blantyre,pond metagenome
P4d,Blantyre,pond metagenome
P4e,Blantyre,pond metagenome
P5a,Blantyre,pond metagenome
P5b,Blantyre,pond metagenome
P5c,Blantyre,pond metagenome
P5d,Blantyre,pond metagenome
P5e,Blantyre,pond metagenome
P6a,Maldeco Mangochi,pond metagenome
P6b,Maldeco Mangochi,pond metagenome
P6c,Maldeco Mangochi,pond metagenome
P6d,Maldeco Mangochi,pond metagenome
P6e,Maldeco Mangochi,pond metagenome
P7a,Maldeco Mangochi,pond metagenome
P7b,Maldeco Mangochi,pond metagenome
P7c,Maldeco Mangochi,pond metagenome
P7d,Maldeco Mangochi,pond metagenome
P7e,Maldeco Mangochi,pond metagenome
T10,Blantyre,fish metagenome
T11,Blantyre,fish metagenome
T12,Blantyre,fish metagenome
T13s,Blantyre,fish metagenome
T14s,Blantyre,fish metagenome
T15s,Blantyre,fish metagenome
T16,Blantyre,fish metagenome
T16s,Blantyre,fish metagenome
T17,Blantyre,fish metagenome
T17s,Blantyre,fish metagenome
T18,Blantyre,fish metagenome
T18s,Blantyre,fish metagenome
T19s,Blantyre,fish metagenome
T20s,Blantyre,fish metagenome
T21,Blantyre,fish metagenome
T21s,Blantyre,fish metagenome
T22,Blantyre,fish metagenome
T22s,Blantyre,fish metagenome
T23,Blantyre,fish metagenome
T24,Blantyre,fish metagenome
T25,Blantyre,fish metagenome
T3f,Blantyre,fish metagenome
T4f,Blantyre,fish metagenome
Ts23,Maldeco Mangochi,fish metagenome
Ts24,Maldeco Mangochi,fish metagenome
Ts25,Maldeco Mangochi,fish metagenome
Ts26,Maldeco Mangochi,fish metagenome
Ts27,Maldeco Mangochi,fish metagenome
Ts29,Maldeco Mangochi,fish metagenome
Ts30,Maldeco Mangochi,fish metagenome
Ts31,Maldeco Mangochi,fish metagenome
Ts32,Maldeco Mangochi,fish metagenome
